"Domain","Topic","Data Source","Variable Name","Variable Label"
"1. social context","Demographics","ACS","ACS_PCT_ASIAN_NONHISP_countylevel","Percentage of non-Hispanic population reporting Asian race alone"
"3. education","Attainment","ACS","ACS_PCT_BACHELOR_DGR_countylevel","Percentage of population with a bachelor's degree (ages 25 and over)"
"1. social context","Demographics","ACS","ACS_PCT_BLACK_countylevel","Percentage of population reporting Black or African American race alone"
"1. social context","Demographics","ACS","ACS_PCT_BLACK_COMB_countylevel","Percentage of population reporting Black or African American alone or in combination with one or more races"
"1. social context","Demographics","ACS","ACS_PCT_BLACK_FEMALE_countylevel","Percentage of Black or African American alone population reporting female"
"1. social context","Demographics","ACS","ACS_PCT_BLACK_MALE_countylevel","Percentage of Black or African American alone population reporting male"
"1. social context","Demographics","ACS","ACS_PCT_BLACK_NONHISP_countylevel","Percentage of non-Hispanic population reporting Black or African American race alone"
"1. social context","Living conditions","ACS","ACS_PCT_CHILDREN_GRANDPARENT_countylevel","Percentage of children living with a grandparent householder (ages 17 and below)"
"1. social context","Living conditions","ACS","ACS_PCT_CHILD_1FAM_countylevel","Percentage of families with children that are single-parent families"
"1. social context","Disability","ACS","ACS_PCT_CHILD_DISAB_countylevel","Percentage of children with a disability (ages 17 and below)"
"3. education","Attainment","ACS","ACS_PCT_COLLEGE_ASSOCIATE_DGR_countylevel","Percentage of population with some college or associate's degree (ages 25 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_15MIN_countylevel","Percentage of workers with < 15-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_29MIN_countylevel","Percentage of workers with 15- to 29-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_59MIN_countylevel","Percentage of workers with 30- to 59-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_60MINUP_countylevel","Percentage of workers with at least 60-minute commute time (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_CONSTRUCT_countylevel","Percentage of employed working in construction (ages 16 and over)"
"1. social context","Immigration","ACS","ACS_PCT_CTZ_NATURALIZED_countylevel","Percentage of population consisting of U.S. citizens by naturalization"
"1. social context","Immigration","ACS","ACS_PCT_CTZ_NONUS_BORN_countylevel","Percentage of population consisting of U.S. citizens born abroad of American parents or naturalized"
"1. social context","Immigration","ACS","ACS_PCT_CTZ_US_BORN_countylevel","Percentage of population consisting of U.S. citizens born in United States, Puerto Rico, or U.S. Islands "
"4. physical infrastructure","Migration","ACS","ACS_PCT_DIF_STATE_countylevel","Percentage of population that moved from different state in the past year (age 1 and over)"
"1. social context","Disability","ACS","ACS_PCT_DISABLE_countylevel","Percentage of population with a disability"
"1. social context","Demographics","ACS","ACS_PCT_DIVORCED_F_countylevel","Percentage of female population divorced or separated (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_DIVORCED_M_countylevel","Percentage of male population divorced or separated (ages 15 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_DRIVE_2WORK_countylevel","Percentage of workers taking a car, truck, or van to work (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_EDUC_countylevel","Percentage of employed working in educational services, and healthcare and social assistance (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_EMPLOYED_countylevel","Percentage of civilian labor force that is employed (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGLISH_countylevel","Percentage of population that only speaks English (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_NOT_ALL_countylevel","Percentage of population that speaks a language other than English that does not speak English at all (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_NOT_WELL_countylevel","Percentage of population that speaks a language other than English that does not speak English well (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_VERY_WELL_countylevel","Percentage of population that speaks a language other than English that speaks English very well (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_WELL_countylevel","Percentage of population that speaks a language other than English that speaks English well (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_FEMALE_countylevel","Percentage of population that is female"
"2. economic context","Employment","ACS","ACS_PCT_FINANCE_countylevel","Percentage of employed working in finance and insurance, real estate, and rental and leasing (ages 16 and over)"
"1. social context","Immigration","ACS","ACS_PCT_FOREIGN_BORN_countylevel","Percentage of population that is foreign-born"
"2. economic context","Employment","ACS","ACS_PCT_GOVT_countylevel","Percentage of civilian employed population who are government workers (ages 16 and over)"
"3. education","Attainment","ACS","ACS_PCT_GRADUATE_DGR_countylevel","Percentage of population with a master's or professional school degree or doctorate (ages 25 and over)"
"1. social context","Living conditions","ACS","ACS_PCT_GRANDP_NO_RESPS_countylevel","Percentage of children living with grandparent householder whose grandparent is not responsible for them"
"1. social context","Living conditions","ACS","ACS_PCT_GRANDP_RESPS_NO_P_countylevel","Percentage of children living with grandparent householder whose grandparent is responsible for them: parent not present"
"1. social context","Living conditions","ACS","ACS_PCT_GRANDP_RESPS_P_countylevel","Percentage of children living with grandparent householder whose grandparent is responsible for them: parent present"
"4. physical infrastructure","Housing","ACS","ACS_PCT_GRP_QRT_countylevel","Percentage of persons in institutionalized group quarters"
"1. social context","Demographics","ACS","ACS_PCT_GULFWAR_1990_2001_countylevel","Percentage of the civilian veteran population that served during the Gulf War period from August 1990 to August 2001 (ages 18 and over)"
"1. social context","Demographics","ACS","ACS_PCT_GULFWAR_2001_countylevel","Percentage of the civilian veteran population that served during the Gulf War period from September 2001 or later (ages 18 and over)"
"1. social context","Demographics","ACS","ACS_PCT_GULFWAR_VIETNAM_countylevel","Percentage of the civilian veteran population that served between Gulf War and Vietnam era (ages 18 and over)"
"2. economic context","Poverty","ACS","ACS_PCT_HH_1FAM_FOOD_STMP_countylevel","Percentage of unmarried partner households that received food stamps/SNAP benefits"
"1. social context","Living conditions","ACS","ACS_PCT_HH_1PERS_countylevel","Percentage of households with only one occupant"
"1. social context","Living conditions","ACS","ACS_PCT_HH_ABOVE65_countylevel","Percentage of households with one or more people 65 years and over"
"1. social context","Living conditions","ACS","ACS_PCT_HH_ALONE_ABOVE65_countylevel","Percentage of households with a person 65 years and over living alone"
"2. economic context","Poverty","ACS","ACS_PCT_HH_FOOD_STMP_countylevel","Percentage of households that received food stamps/SNAP, past 12 months"
"2. economic context","Poverty","ACS","ACS_PCT_HH_FOOD_STMP_BLW_POV_countylevel","Percentage of households receiving food stamps/SNAP with income below the poverty level"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_10000_countylevel","Percentage of population with household income less than $10,000"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_100000_countylevel","Percentage of population with household income greater than $100,000"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_14999_countylevel","Percentage of population with household income between $10,000 and $14,999"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_24999_countylevel","Percentage of population with household income between $15,000 and $24,999"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_49999_countylevel","Percentage of population with household income between $25,000 and $49,999"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_99999_countylevel","Percentage of population with household income between $50,000 and $99,999"
"1. social context","Living conditions","ACS","ACS_PCT_HH_KID_1PRNT_countylevel","Percentage of family households with female or male householder, no spouse present"
"1. social context","Demographics","ACS","ACS_PCT_HH_LIMIT_ENGLISH_countylevel","Percentage of limited English speaking households"
"2. economic context","Poverty","ACS","ACS_PCT_HH_NO_FD_STMP_BLW_POV_countylevel","Percentage of households not receiving food stamps/SNAP with income below the poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_HH_PUB_ASSIST_countylevel","Percentage of households with public assistance income or food stamps/SNAP"
"1. social context","Demographics","ACS","ACS_PCT_HISPANIC_countylevel","Percentage of population reporting Hispanic ethnicity"
"1. social context","Demographics","ACS","ACS_PCT_HISP_FEMALE_countylevel","Percentage of Hispanic or Latino population reporting female"
"1. social context","Demographics","ACS","ACS_PCT_HISP_MALE_countylevel","Percentage of Hispanic or Latino population reporting male"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_AIAN_countylevel","Percentage of householders who are American Indian and Alaska Native alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_ASIAN_countylevel","Percentage of householders who are Asian alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_BLACK_countylevel","Percentage of householders who are Black or African American alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_MULT_countylevel","Percentage of householders who are two or more races"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_NHPI_countylevel","Percentage of householders who are Native Hawaiian and other Pacific Islander alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_OTHER_countylevel","Percentage of householders who are some other race alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_WHITE_countylevel","Percentage of householders who are White alone"
"3. education","Attainment","ACS","ACS_PCT_HS_GRADUATE_countylevel","Percentage of population with only high school diploma (ages 25 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_BOT_TANK_LP_GAS_countylevel","Percentage of occupied housing units with bottled, tank, or LP gas"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_BUILT_1979_countylevel","Percentage of housing units built before 1979"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_COAL_countylevel","Percentage of occupied housing units with coal or coke heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_ELEC_countylevel","Percentage of occupied housing units with electricity heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_KITCHEN_countylevel","Percentage of housing units lacking complete kitchen facilities"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_MOBILE_HOME_countylevel","Percentage of housing units that are mobile homes"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_NO_FUEL_countylevel","Percentage of occupied housing units without fuel"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_HU_NO_VEH_countylevel","Percentage of housing units with no vehicle available"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_OIL_countylevel","Percentage of occupied housing units with fuel oil heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_OTHER_countylevel","Percentage of occupied housing units with other heating fuel"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_PLUMBING_countylevel","Percentage of housing units lacking complete plumbing facilities"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_SOLAR_countylevel","Percentage of occupied housing units with solar energy"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_UTILITY_GAS_countylevel","Percentage of occupied housing units with utility gas heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_WOOD_countylevel","Percentage of occupied housing units with wood heating"
"2. economic context","Poverty","ACS","ACS_PCT_INC50_countylevel","Percentage of population with income to poverty ratio under 0.50"
"2. economic context","Poverty","ACS","ACS_PCT_INC50_ABOVE65_countylevel","Percentage of population with income to poverty ratio under 0.50 (ages 65 and over)"
"2. economic context","Income","ACS","ACS_PCT_INC50_BELOW17_countylevel","Percentage of children with income to poverty ratio under 0.50  (ages 17 and below)"
"2. economic context","Employment","ACS","ACS_PCT_INFORM_countylevel","Percentage of employed working in information services (ages 16 and over)"
"4. physical infrastructure","Migration","ACS","ACS_PCT_IN_COUNTY_MOVE_countylevel","Percentage of population that moved within the same county in the past year (age 1 and over)"
"4. physical infrastructure","Migration","ACS","ACS_PCT_IN_STATE_MOVE_countylevel","Percentage of population that moved from different county within same state in the past year (age 1 and over)"
"3. education","Attainment","ACS","ACS_PCT_LT_HS_countylevel","Percentage of population with less than high school education (ages 25 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MALE_countylevel","Percentage of population that is male"
"2. economic context","Employment","ACS","ACS_PCT_MANUFACT_countylevel","Percentage of employed working in manufacturing (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_AB_F_countylevel","Percentage of female population now married and spouse absent (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_AB_M_countylevel","Percentage of male population now married and spouse absent (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_PR_F_countylevel","Percentage of female population now married and spouse present (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_PR_M_countylevel","Percentage of male population now married and spouse present (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_countylevel","Percentage of population reporting multiple races"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_FEMALE_countylevel","Percentage of population reporting two or more races and female"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_MALE_countylevel","Percentage of population reporting two or more races and male"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_NONHISP_countylevel","Percentage of non-Hispanic population reporting multiple races"
"2. economic context","Employment","ACS","ACS_PCT_NATURE_countylevel","Percentage of employed working in agriculture, forestry, fishing and hunting, and mining (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_countylevel","Percentage of population reporting Native Hawaiian and Pacific Islander race alone"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_COMB_countylevel","Percentage of population reporting Native Hawaiian and other Pacific Islander alone or in combination with one or more races"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_FEMALE_countylevel","Percentage of Native Hawaiian and other Pacific Islander alone population reporting female"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_MALE_countylevel","Percentage of Native Hawaiian and other Pacific Islander alone  population reporting male"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_NONHISP_countylevel","Percentage of non-Hispanic population reporting Native Hawaiian and Pacific Islander race alone"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_1990_countylevel","Percentage of population who are not U.S. citizens and entered U.S. before 1990"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_1999_countylevel","Percentage of population who are not U.S. citizens and entered U.S. between 1990 and 1999"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_2000_countylevel","Percentage of population who are not U.S. citizens and entered U.S. between 2000 and 2009"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_2010_countylevel","Percentage of population who are not U.S. citizens and entered U.S. since 2010"
"1. social context","Disability","ACS","ACS_PCT_NONVET_DISABLE_18_64_countylevel","Percentage of nonveterans with a disability (between ages 18 and 64)"
"2. economic context","Poverty","ACS","ACS_PCT_NONVET_POV_18_64_countylevel","Percentage of civilian nonveterans with income below the poverty level in the past 12 months (between ages 18 and 64)"
"1. social context","Immigration","ACS","ACS_PCT_NON_CITIZEN_countylevel","Percentage of population who are not U.S. citizens"
"2. economic context","Employment","ACS","ACS_PCT_NOT_LABOR_countylevel","Percentage of population not in labor force (ages 16 and over)"
"3. education","Attainment","ACS","ACS_PCT_NO_WORK_NO_SCHL_16_19_countylevel","Percentage of teens and adults who are unemployed and not in school (between ages 16 and 19)"
"1. social context","Demographics","ACS","ACS_PCT_NVR_MARRIED_F_countylevel","Percentage of female population never married (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_NVR_MARRIED_M_countylevel","Percentage of male population never married (ages 15 and over)"
"2. economic context","Employment","ACS","ACS_PCT_OTHER_countylevel","Percentage of employed working in other services, except public administration (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_OTHER_FEMALE_countylevel","Percentage of population reporting some other race alone and female"
"1. social context","Demographics","ACS","ACS_PCT_OTHER_MALE_countylevel","Percentage of population reporting some other race alone and male"
"1. social context","Demographics","ACS","ACS_PCT_OTHER_NONHISP_countylevel","Percentage of non-Hispanic population reporting some other race alone"
"1. social context","Demographics","ACS","ACS_PCT_OTHER_RACE_countylevel","Percentage of population reporting some other race alone"
"1. social context","Demographics","ACS","ACS_PCT_OTH_EURP_countylevel","Percentage of population who speak other Indo-European languages (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_OTH_LANG_countylevel","Percentage of population who speak other languages (ages 5 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_countylevel","Percentage of occupied housing units: owner-occupied"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_CHILD_countylevel","Percentage of owner-occupied housing units with children"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_COST_30PCT_countylevel","Percentage of owner-occupied housing units with selected monthly owner costs equal to 30 percent or more of household income"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_COST_50PCT_countylevel","Percentage of owner-occupied housing units with selected monthly owner costs equal to 50 percent or more of household income"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_100_124_countylevel","Percentage of population with an income to poverty ratio between 1.00 and 1.24"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_125_199_countylevel","Percentage of population with an income to poverty ratio between 1.25 and 1.99"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_ABOVE200_countylevel","Percentage of population with an income to poverty ratio of 2.00 or higher"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_BELOW99_countylevel","Percentage of population with an income to poverty ratio under 1.00"
"3. education","Attainment","ACS","ACS_PCT_POSTHS_ED_countylevel","Percentage of population with any postsecondary education (ages 25 and over)"
"2. economic context","Poverty","ACS","ACS_PCT_POV_AIAN_countylevel","Percentage of American Indian or Alaska Native population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_ASIAN_countylevel","Percentage of Asian population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_BLACK_countylevel","Percentage of Black or African American population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_HISPANIC_countylevel","Percentage of Hispanic or Latino population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_MULTI_countylevel","Percentage of two or more races population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_NHPI_countylevel","Percentage of Native Hawaiian or Pacific Islander population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_OTHER_countylevel","Percentage of some other race population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_WHITE_countylevel","Percentage of White, not Hispanic population below poverty level"
"2. economic context","Employment","ACS","ACS_PCT_PROFESS_countylevel","Percentage of employed working in professional, scientific, management, administrative, and waste management services (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUBL_TRANSIT_countylevel","Percentage of workers taking public transportation, excluding taxicab (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_15MIN_countylevel","Percentage of workers who use public transportation with < 15-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_29MIN_countylevel","Percentage of workers who use public transportation with 15- to 29-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_59MIN_countylevel","Percentage of workers who use public transportation with 30- to 59-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_60MINUP_countylevel","Percentage of workers who use public transportation with at least 60-minute commute time (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_PVT_NONPROFIT_countylevel","Percentage of population who are private not-for-profit wage and salary workers (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_PVT_PROFIT_countylevel","Percentage of population who are private for-profit wage and salary workers (ages 16 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_countylevel","Percentage of occupied housing units: rented"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_ABOVE65_countylevel","Percentage of renter-occupied housing units occupied by householders aged 65 and above"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_CHILD_countylevel","Percentage of renter-occupied housing units with children"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_COST_30PCT_countylevel","Percentage of renter-occupied housing units with rent equal to 30 percent or more of household income"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_COST_50PCT_countylevel","Percentage of renter-occupied housing units with rent equal to 50 percent or more of household income"
"2. economic context","Employment","ACS","ACS_PCT_RETAIL_countylevel","Percentage of employed working in retail trade (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_SAME_SEX_UNMRD_PRTNR_countylevel","Percentage of households with same-sex unmarried partner"
"1. social context","Demographics","ACS","ACS_PCT_SPANISH_countylevel","Percentage of population that speaks Spanish (ages 5 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_TAXICAB_2WORK_countylevel","Percentage of workers taking taxicab, motorcycle, bicycle, or other means to work (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_TRANSPORT_countylevel","Percentage of employed working in transportation and warehousing, and in utilities (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_UNEMPLOY_countylevel","Percentage of civilian labor force that is unemployed (ages 16 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_VACANT_HU_countylevel","Percentage of housing units vacant"
