"Domain","Topic","Data Source","Variable Name","Variable Label"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_WALK_2WORK_census_tractlevel","Percentage of workers walking to work (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_WHITE_census_tractlevel","Percentage of population reporting White race alone"
"1. social context","Demographics","ACS","ACS_PCT_WHITE_COMB_census_tractlevel","Percentage of population reporting White alone or in combination with one or more races"
"1. social context","Demographics","ACS","ACS_PCT_WHITE_FEMALE_census_tractlevel","Percentage of White non-Hispanic alone population reporting female"
"1. social context","Demographics","ACS","ACS_PCT_WHITE_MALE_census_tractlevel","Percentage of White non-Hispanic alone population reporting male"
"1. social context","Demographics","ACS","ACS_PCT_WHITE_NONHISP_census_tractlevel","Percentage of non-Hispanic population reporting White race alone"
"2. economic context","Employment","ACS","ACS_PCT_WHOLESALE_census_tractlevel","Percentage of employed working in wholesale trade (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_WIDOWED_F_census_tractlevel","Percentage of female population now widowed (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_WIDOWED_M_census_tractlevel","Percentage of male population now widowed (ages 15 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_WORK_NO_CAR_census_tractlevel","Percentage of workers in households with no vehicle available (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_WORK_RES_F_census_tractlevel","Percentage of female population who worked in place of residence (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_WORK_RES_M_census_tractlevel","Percentage of male population who worked in place of residence (ages 16 and over)"
"2. economic context","Income","ACS","ACS_PER_CAPITA_INC_census_tractlevel","Per capita income (dollars, inflation-adjusted to data file year)"
"2. economic context","Employment","ACS","ACS_TOT_CIVIL_EMPLOY_POP_census_tractlevel","Total civilian employed population (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_TOT_CIVIL_NONINST_POP_census_tractlevel","Total civilian noninstitutionalized population"
"2. economic context","Poverty","ACS","ACS_TOT_CIVIL_NONINST_POP_POV_census_tractlevel","Total civilian noninstitutionalized population for whom poverty status is determined"
"1. social context","Demographics","ACS","ACS_TOT_CIVIL_POP_ABOVE18_census_tractlevel","Total civilian population (ages 18 and over)"
"2. economic context","Poverty","ACS","ACS_TOT_CIVIL_POP_POV_census_tractlevel","Total civilian population for whom poverty status is determined (ages 18 and over)"
"1. social context","Demographics","ACS","ACS_TOT_CIVIL_VET_POP_census_tractlevel","Total number of civilian veterans (ages 18 and over)"
"1. social context","Demographics","ACS","ACS_TOT_CIVIL_VET_POP_ABOVE25_census_tractlevel","Total civilian population who are veterans (ages 25 and over)"
"1. social context","Living conditions","ACS","ACS_TOT_GRANDCHILDREN_GP_census_tractlevel","Total grandchildren under 18 living with grandparent householder"
"1. social context","Demographics","ACS","ACS_TOT_HH_census_tractlevel","Total number of households"
"4. physical infrastructure","Housing","ACS","ACS_TOT_HU_census_tractlevel","Total housing units"
"1. social context","Demographics","ACS","ACS_TOT_OWN_CHILD_BELOW17_census_tractlevel","Total own children (ages 17 and below)"
"1. social context","Demographics","ACS","ACS_TOT_POP_16_19_census_tractlevel","Total population (between ages 16 and 19)"
"1. social context","Demographics","ACS","ACS_TOT_POP_ABOVE15_census_tractlevel","Total population (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_TOT_POP_ABOVE16_census_tractlevel","Total population (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_TOT_POP_ABOVE25_census_tractlevel","Total population (ages 25 and over)"
"1. social context","Demographics","ACS","ACS_TOT_POP_ABOVE5_census_tractlevel","Total population (ages 5 and over)"
"2. economic context","Poverty","ACS","ACS_TOT_POP_POV_census_tractlevel","Total population for whom poverty status is determined"
"1. social context","Demographics","ACS","ACS_TOT_POP_US_ABOVE1_census_tractlevel","Total population in the U.S. (ages 1 and over)"
"1. social context","Demographics","ACS","ACS_TOT_POP_WT_census_tractlevel","Total weighted population"
"2. economic context","Employment","ACS","ACS_TOT_CIVILIAN_LABOR_census_tractlevel","Total population in the civilian labor force (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_TOT_WORKER_HH_census_tractlevel","Total workers in households (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_TOT_WORKER_NWFH_census_tractlevel","Total workers who do not work from home (ages 16 and over)"
"5. healthcare context","Characteristics of health care facilities","HRSA","HRSA_MUA_CENSUS_TRACT_census_tractlevel","Medically Underserved Areas (MUAs) - Census Tract"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_ALC_TRACT_census_tractlevel","Distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted tract centroids"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_CLINIC_TRACT_census_tractlevel","Distance in miles to the nearest health clinic (FQHC, RHC), calculated using population weighted tract centroids"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_ED_TRACT_census_tractlevel","Distance in miles to the nearest emergency department, calculated using population weighted tract centroids"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_MEDSURG_ICU_TRACT_census_tractlevel","Distance in miles to the nearest medical-surgical ICU, calculated using population weighted tract centroids"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_OBSTETRICS_TRACT_census_tractlevel","Distance in miles to the nearest obstetrics department, calculated using population weighted tract centroids"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_PED_ICU_TRACT_census_tractlevel","Distance in miles to the nearest pediatric ICU, calculated using population weighted tract centroids"
"5. healthcare context","Characteristics of health care facilities","POS","POS_DIST_TRAUMA_TRACT_census_tractlevel","Distance in miles to the nearest designated trauma center, calculated using population weighted tract centroids"
"4. physical infrastructure","Environment","WUSTL","WUSTL_AVG_PM25_census_tractlevel","Annual mean of Particulate Matter (PM2.5) concentration (μg/m3)"
