"Domain","Topic","Data Source","Variable Name","Variable Label"
"1. social context","Living conditions","ACS","ACS_PCT_CHILDREN_GRANDPARENT_census_tractlevel","Percentage of children living with a grandparent householder (ages 17 and below)"
"1. social context","Living conditions","ACS","ACS_PCT_CHILD_1FAM_census_tractlevel","Percentage of families with children that are single-parent families"
"1. social context","Disability","ACS","ACS_PCT_CHILD_DISAB_census_tractlevel","Percentage of children with a disability (ages 17 and below)"
"3. education","Attainment","ACS","ACS_PCT_COLLEGE_ASSOCIATE_DGR_census_tractlevel","Percentage of population with some college or associate's degree (ages 25 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_15MIN_census_tractlevel","Percentage of workers with < 15-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_29MIN_census_tractlevel","Percentage of workers with 15- to 29-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_59MIN_census_tractlevel","Percentage of workers with 30- to 59-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_COMMT_60MINUP_census_tractlevel","Percentage of workers with at least 60-minute commute time (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_CONSTRUCT_census_tractlevel","Percentage of employed working in construction (ages 16 and over)"
"1. social context","Immigration","ACS","ACS_PCT_CTZ_NATURALIZED_census_tractlevel","Percentage of population consisting of U.S. citizens by naturalization"
"1. social context","Immigration","ACS","ACS_PCT_CTZ_NONUS_BORN_census_tractlevel","Percentage of population consisting of U.S. citizens born abroad of American parents or naturalized"
"1. social context","Immigration","ACS","ACS_PCT_CTZ_US_BORN_census_tractlevel","Percentage of population consisting of U.S. citizens born in United States, Puerto Rico, or U.S. Islands "
"4. physical infrastructure","Migration","ACS","ACS_PCT_DIF_STATE_census_tractlevel","Percentage of population that moved from different state in the past year (age 1 and over)"
"1. social context","Disability","ACS","ACS_PCT_DISABLE_census_tractlevel","Percentage of population with a disability"
"1. social context","Demographics","ACS","ACS_PCT_DIVORCED_F_census_tractlevel","Percentage of female population divorced or separated (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_DIVORCED_M_census_tractlevel","Percentage of male population divorced or separated (ages 15 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_DRIVE_2WORK_census_tractlevel","Percentage of workers taking a car, truck, or van to work (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_EDUC_census_tractlevel","Percentage of employed working in educational services, and healthcare and social assistance (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_EMPLOYED_census_tractlevel","Percentage of civilian labor force that is employed (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGLISH_census_tractlevel","Percentage of population that only speaks English (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_NOT_ALL_census_tractlevel","Percentage of population that speaks a language other than English that does not speak English at all (ages 5 and over)"
