"Variable","Domain","MissingRate"
"ACS_PCT_ENGLISH_countylevel","1. social context",0.00278055833611389
"ACS_PCT_ENGL_NOT_ALL_countylevel","1. social context",0.00278055833611389
"ACS_PCT_ENGL_NOT_WELL_countylevel","1. social context",0.00278055833611389
"ACS_PCT_ENGL_VERY_WELL_countylevel","1. social context",0.00278055833611389
"ACS_PCT_ENGL_WELL_countylevel","1. social context",0.00278055833611389
"ACS_PCT_FEMALE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_FINANCE_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_FOREIGN_BORN_countylevel","1. social context",0.00834167500834168
"ACS_PCT_GOVT_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_GRADUATE_DGR_countylevel","3. education",0.00278055833611389
"ACS_PCT_GRANDP_NO_RESPS_countylevel","1. social context",0.00278055833611389
"ACS_PCT_GRANDP_RESPS_NO_P_countylevel","1. social context",0.00278055833611389
"ACS_PCT_GRANDP_RESPS_P_countylevel","1. social context",0.00278055833611389
"ACS_PCT_GRP_QRT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_GULFWAR_1990_2001_countylevel","1. social context",0.00278055833611389
"ACS_PCT_GULFWAR_2001_countylevel","1. social context",0.00278055833611389
"ACS_PCT_GULFWAR_VIETNAM_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HEALTH_INC_138_199_countylevel","2. economic context",35.7635413190969
"ACS_PCT_HEALTH_INC_200_399_countylevel","2. economic context",35.7635413190969
"ACS_PCT_HEALTH_INC_ABOVE400_countylevel","2. economic context",35.7635413190969
"ACS_PCT_HEALTH_INC_BELOW137_countylevel","2. economic context",35.7635413190969
"ACS_PCT_HH_1FAM_FOOD_STMP_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_1PERS_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HH_ABOVE65_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HH_ALONE_ABOVE65_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HH_BROADBAND_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_BROADBAND_ANY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_BROADBAND_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_CELLULAR_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_CELLULAR_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_DIAL_INTERNET_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_FOOD_STMP_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_FOOD_STMP_BLW_POV_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INC_10000_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INC_100000_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INC_14999_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INC_24999_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INC_49999_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INC_99999_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_INTERNET_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_INTERNET_NO_SUBS_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_KID_1PRNT_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HH_LIMIT_ENGLISH_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HH_NO_COMP_DEV_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_NO_FD_STMP_BLW_POV_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_NO_INTERNET_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_OTHER_COMP_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_OTHER_COMP_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_PC_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_PC_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_PUB_ASSIST_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_HH_SAT_INTERNET_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_SMARTPHONE_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_SMARTPHONE_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_TABLET_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HH_TABLET_ONLY_countylevel","4. physical infrastructure",77.9918807696586
"ACS_PCT_HISPANIC_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HISP_FEMALE_countylevel","1. social context",0.0222444666889111
"ACS_PCT_HISP_MALE_countylevel","1. social context",0.0222444666889111
"ACS_PCT_HOUSEHOLDER_AIAN_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HOUSEHOLDER_ASIAN_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HOUSEHOLDER_BLACK_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HOUSEHOLDER_MULT_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HOUSEHOLDER_NHPI_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HOUSEHOLDER_OTHER_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HOUSEHOLDER_WHITE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_HS_GRADUATE_countylevel","3. education",0.00278055833611389
"ACS_PCT_HU_BOT_TANK_LP_GAS_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_BUILT_1979_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_COAL_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_ELEC_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_KITCHEN_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_MOBILE_HOME_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_NO_FUEL_countylevel","4. physical infrastructure",0.00278055833611389
